topic_id,George Eliot,Herman Melville,Jane Austen,topterms
0,0.031736626686149946,0.025016785542753467,0.04443439782295268,word hand room words thought heart attention family way kind
1,0.038301362410942424,0.026619221087378443,0.01504442503924877,fellow book man life eyes love head way chair things
2,0.03284485711624316,0.041181157101525014,0.024472408365228602,cock nay ha deal time things good aye people kind
3,0.034805766790166066,0.01701075451868947,0.06965253470154192,father sister aunt time money life family sense man love
4,0.022967057907895452,0.10634921386965791,0.014360010014674183,sea ship sight face air glance officer time ships eyes
5,0.03216933539010087,0.023371089688226585,0.05189645616360786,letter said uncle eyes moment face time hand day countenance
6,0.025793209807289625,0.02806309347857912,0.0610013243066873,time thing body friend family daughter things day party idea
7,0.028737830567632322,0.028649226970761155,0.04581048949457746,wife table thing mother sister daughters did everybody time day
8,0.02939416716943041,0.0257238736163873,0.03169924298659894,life man person family marriage fact consequence mind love time
9,0.03366251318854708,0.035686622905970175,0.028234066945980917,man woman feelings love people husband sense eyes men wife
10,0.02684944732179202,0.015427185303917203,0.08382847365225249,sister time letter feelings change brother place father business family
11,0.027809560453280514,0.026738011250886585,0.04818182550917249,home mother room time house way husband men evening society
12,0.037869390339016006,0.039669059107648404,0.014819882715978469,eyes child mother face hand man arm way house tree
13,0.041596614983120145,0.03141555643594003,0.031247996969965552,don children father man mother world boy people things care
14,0.04150628182009397,0.025111918738150538,0.016522631852229852,day work home man things money father life people time
15,0.038884986626343654,0.025673020848141503,0.020192621584172423,life morning time hand room strength days man sense mind
16,0.02769743429983847,0.02263737960269616,0.02852040708665822,time day way horse mind morning home house days spirits
17,0.027046104484779638,0.028622404679223785,0.027705782981996028,come day course men knowledge poor house friend mind year
18,0.028776213767138823,0.028268115515623755,0.025282344409282224,father brother time way question power feeling liberty sister right
19,0.03997929819418676,0.029409765906428898,0.02227129212867321,thee man day door thank eyes paper time evening way
20,0.043515729125863094,0.024250853552337397,0.02539843860608633,mind voice man moment words hands silence moments woman ye
21,0.03237613204355376,0.043984685428110945,0.018855776956706524,sir man anybody house time reason em way mind money
22,0.03706596329128601,0.027354644421671136,0.052317348576653905,yes oh thing sort difference things dear smile time way
23,0.028610221137598386,0.03281320547162209,0.025042971049558594,ve mr day voice nonsense help way truth love ticking
24,0.03665267632834178,0.07870019368583206,0.019775616976954454,chimney door house way wife head half night room morning
25,0.04565080997274476,0.03650989856283578,0.02438680383361842,ll time ah house head day glass sure way box
26,0.029559223328475437,0.0326983275448593,0.0373003373489688,thing way words carriage time girls away better man pleasure
27,0.024742508463272937,0.03777102508729912,0.025607127090891725,time way man school home men lady master manner hand
28,0.03967094300694343,0.033357951189674405,0.021371661944069666,man way bit eh hands news mind things folks money
29,0.03372773397793306,0.021915758887172235,0.04476530288501198,dear man girl sort thing heart wife day question course
