term_str,0,1,2,3,4,5,6,7,8,9
somebody.,0.008634711777879169,0.014813988217532364,0.000591240955037873,-0.008423185147705283,0.0008634812217313698,0.011996512572895548,5.50371940826945e-05,-0.0007785526159420455,-0.003696138841672668,-0.021665641889798026
sir.”,-0.0013286436935654455,0.000178783625627843,2.0457204991594646e-05,-9.268810649110115e-06,7.173407696960815e-05,-1.8579287837439118e-05,-0.0010430385616003322,0.008873781528018005,0.1291177085570087,0.11640311111975041
"sisters.""",0.011053470128230658,0.007146204597087036,-0.022000729643688426,0.03316659467624883,-0.014756007219330243,0.0008613510525259382,7.084175020384987e-05,-0.0012947813811160812,-0.0818720377248997,0.025071979275117322
"sister.""",0.006465332666572315,0.011094998564740277,-0.0004257030354860372,0.0010666456385993728,0.00029244502864199384,0.0016796726225479786,2.3445778185322797e-05,-0.0005729915462115726,0.13004138778859375,-0.8648110018337839
explain?,0.004214212126739418,0.007534835423475737,0.0009516971185149492,-0.01192626265087271,0.0014609657102279336,-0.0032628491872295218,-0.0008296497208246448,0.0009606457043995764,0.92461259058636,0.100512086508981
authorised,0.0107612862218388,0.01847100747668311,-0.0018683500615001014,0.011623122063486702,1.3853864196874954e-05,-0.006957494705227621,1.530014047443351e-05,-0.0009404220226822968,-0.05700699039397185,0.003329844952752165
sister's,0.1375149157608764,0.2347144102594393,-0.04598264011953923,0.36425038025744105,-0.018668019701853306,-0.08282688516605252,0.000304057208259087,-0.013909146424673446,0.20218337447427479,-0.033810752515853186
author.,0.004516028290978762,-0.003563382701213445,-0.017871563570620516,-0.005811017677273822,-0.01126200901697283,-0.01396482669898916,-0.0008335537174366525,0.0009204620413574005,-0.029259159264535622,0.026005239604904796
sister!,0.008608493315282033,0.014669710643257167,-0.0018015859950197277,0.014058997670623921,-0.0008702937317450754,0.006621500593422824,4.9095762500339646e-05,-0.0009137946321444157,-0.008398612538822922,-0.05801553437694365
explicit.,0.001867279060325319,0.0036116016906152172,-0.001371206291360746,0.012990783550693077,-0.001147703540970488,0.004937941553966698,0.0005132133754170593,0.0026119569881530524,-0.005378832217348292,0.10385341282196825
